user_id,auth_date
849390,2020-09-10
244649,2018-10-27
863319,2020-07-11
196170,2018-01-29
243425,2018-03-24
19437,2016-12-03
653709,2019-11-06
656784,2019-12-09
128765,2017-02-21
162406,2017-08-17
663249,2019-11-15
323101,2019-04-06
514304,2019-09-06
19684,2016-03-02
9848,2017-05-18
95852,2017-05-15
17595,2020-05-13
30477,2016-09-13
223140,2019-04-02
280351,2020-04-16
495744,2019-06-01
559064,2019-09-09
151290,2018-03-29
49921,2017-12-15
369283,2020-03-16
923083,2020-07-02
706338,2019-12-27
123944,2019-03-03
402737,2019-06-01
229843,2020-02-25
83693,2017-10-03
143351,2017-05-23
636456,2019-11-05
674208,2019-12-09
172292,2018-08-17
440928,2020-09-13
8464,2018-11-22
55076,2017-04-30
78432,2020-02-19
871941,2020-05-12
718491,2020-05-05
22810,2017-12-27
746772,2020-06-10
555825,2020-01-24
367343,2019-08-21
615923,2020-05-25
243310,2018-08-20
295035,2020-08-06
149272,2019-01-06
600,2017-09-24
928666,2020-07-11
25924,2016-03-24
290329,2019-08-01
448937,2019-03-23
160715,2019-06-12
408717,2019-02-13
349250,2020-03-16
740878,2020-04-12
158,2012-12-02
339367,2019-11-28
161292,2017-08-04
199450,2017-11-14
3968,2018-10-11
804455,2020-04-01
43880,2020-08-24
1080296,2020-09-20
28859,2015-04-12
696429,2019-12-18
231823,2019-09-15
57955,2016-04-12
1049208,2020-09-03
1095261,2020-09-15
283270,2020-03-25
563202,2019-08-30
168384,2019-04-27
187462,2018-12-27
214602,2019-02-03
450760,2019-07-23
17211,2016-08-31
454782,2019-04-09
498881,2020-08-28
6662,2017-11-17
430276,2019-02-25
371427,2019-03-06
335538,2019-07-02
3540,2019-05-16
832249,2020-08-14
454449,2019-06-02
147292,2017-05-14
130673,2019-01-04
821215,2020-04-27
153865,2018-12-04
734477,2020-02-26
969138,2020-09-15
645635,2020-06-04
65889,2016-10-13
313166,2019-03-09
929597,2020-06-07
114915,2020-08-15
493045,2020-03-04
56474,2019-05-01
706990,2019-12-24
578749,2019-08-24
328375,2020-04-15
144196,2019-07-16
738530,2020-08-18
162246,2017-09-16
680932,2019-12-01
888106,2020-06-14
481003,2020-02-16
293000,2018-07-23
99056,2018-09-07
200586,2020-01-20
451064,2019-12-20
64213,2018-10-01
536443,2020-08-24
308161,2018-08-08
100171,2018-08-03
5091,2020-03-27
253586,2018-07-27
